name,date
H5N1|A/chicken/USA/24-034440-001/2024|EPI3677595|2024-11-16,2024.11.16
H5N5|A/Great_Black-Backed_Gull/Scotland/043863/2024|EPI3625486|2024-09-19,2024.9.19
H5N1|A/chicken/USA/24-037217-029/2024|EPI3747108|2024-12-10,2024.12.10
H5N1|A/American_wigeon/North_Carolina/24-002161-002-original/2024|EPI3604999|2024-01-13,2024.1.13
H5N1|A/mute_swan/Austria/24148567-001/2024|EPI3721722|2024-11-11,2024.11.11
H5N1|A/sanderling/Massachusetts/007610-004/2024|EPI3980056|2024-02-24,2024.2.24
H5N1|A/Barnacle_Goose/Germany-NI/2024AI05042/2024|EPI4028231|2024-11-22,2024.11.22
H5N1|A/Mute_Swan/Germany-MV/2024AI04271/2024|EPI3687988|2024-09-20,2024.9.20
H5N1|A/chicken/Washington/24-031352-003/2024|EPI3668356|2024-10-21,2024.10.21
H5N1|A/peafowl/Oregon/24-031478-001/2024|EPI3654081|2024-10-22,2024.10.22
H5N1|A/Hooded_crane/Kagoshima/KU-24-60/2024_(H5N1)|EPI4072564|2024-12-08,2024.12.8
H5N1|A/carrion_crow/Hokkaido/0111Q111/2024|EPI3789954|2024-11-20,2024.11.20
H5N1|A/chicken/California/24-034441-001/2024|EPI3819491|2024-11-18,2024.11.18
H5N1|A/duck/California/24-035915-005-R2/2024|EPI4006585|2024-11-28,2024.11.28
H5N1|A/large-billed_crow/Hokkaido/0111Q112/2024|EPI3789946|2024-11-21,2024.11.21
H5N1|A/wild_goose/Germany-BY/2025AI01255/2025|EPI4070996|2025-02-04,2025.2.4
H5N1|A/red-tailed_hawk/Massachusetts/004865-019/2024|EPI3980351|2024-01-13,2024.1.13
H5N1|A/chicken/USA/24-033692-002/2024|EPI3678820|2024-10-30,2024.10.30
H5N1|A/domestic_duck/Denmark/07164-7/2024|EPI4052756|2024-09-09,2024.9.9
H5N1|A/chicken/West_Virginia/25-000049-008/2024|EPI4006314|2024-12-31,2024.12.31
H5N1|A/chicken/Idaho/24-019884-001/2024|EPI3533527|2024-07-09,2024.7.9
